VistaProject,ClientProjectName,VistaQCBatch,VistaSampleID,SampleID,Species,DateSampled,DateReceived,Matrix,Method,DateExtracted,SampleSize,SampleSizeUnits,PercentSolidsLipids,DateAnalyzed,CASNumber,Analyte,Dilution,Concentration,ReportUnits,Percent lipids,EDL,EMPC,MDL,RL,Qualifiers,Basis,Analyst,SURROGATE,Recovery,LCL,UCL,RPDCL,RPD,AnalyteDisplayOrder
1804095,930,B9A0012,1804095-01,CRC20181002-MUS6,Mn,02-Oct-2018 13:25,14-Dec-2018 10:00,Tissue,EPA Method 1614,07-Jan-2019 07:15,0.809,g,0,11-Jan-2019 21:41,BDE-1,BDE-1,1,ND,pg/g,17.8,110,0,1.07,30.9,,Wet Wt,ANP,N,,,,,,1
1804095,930,B9A0012,1804095-01,CRC20181002-MUS6,Mn,02-Oct-2018 13:25,14-Dec-2018 10:00,Tissue,EPA Method 1614,07-Jan-2019 07:15,0.809,g,0,11-Jan-2019 21:41,BDE-2,BDE-2,1,ND,pg/g,17.8,67.90000153,0,1.73,30.9,,Wet Wt,ANP,N,,,,,,2
1804095,930,B9A0012,1804095-01,CRC20181002-MUS6,Mn,02-Oct-2018 13:25,14-Dec-2018 10:00,Tissue,EPA Method 1614,07-Jan-2019 07:15,0.809,g,0,11-Jan-2019 21:41,BDE-3,BDE-3,1,ND,pg/g,17.8,60.70000076,0,0.727,30.9,,Wet Wt,ANP,N,,,,,,3
1804095,930,B9A0012,1804095-01,CRC20181002-MUS6,Mn,02-Oct-2018 13:25,14-Dec-2018 10:00,Tissue,EPA Method 1614,07-Jan-2019 07:15,0.809,g,0,11-Jan-2019 21:41,BDE-10,BDE-10,1,ND,pg/g,17.8,19.39999962,0,0.787,30.9,,Wet Wt,ANP,N,,,,,,4
1804095,930,B9A0012,1804095-01,CRC20181002-MUS6,Mn,02-Oct-2018 13:25,14-Dec-2018 10:00,Tissue,EPA Method 1614,07-Jan-2019 07:15,0.809,g,0,11-Jan-2019 21:41,BDE-7,BDE-7,1,ND,pg/g,17.8,16.89999962,0,0.618,30.9,,Wet Wt,ANP,N,,,,,,5
1804095,930,B9A0012,1804095-01,CRC20181002-MUS6,Mn,02-Oct-2018 13:25,14-Dec-2018 10:00,Tissue,EPA Method 1614,07-Jan-2019 07:15,0.809,g,0,11-Jan-2019 21:41,BDE-8/11,BDE-8/11,1,ND,pg/g,17.8,11.80000019,0,1.26,61.8,,Wet Wt,ANP,N,,,,,,6
1804095,930,B9A0012,1804095-01,CRC20181002-MUS6,Mn,02-Oct-2018 13:25,14-Dec-2018 10:00,Tissue,EPA Method 1614,07-Jan-2019 07:15,0.809,g,0,11-Jan-2019 21:41,BDE-12,BDE-12,1,ND,pg/g,17.8,11.30000019,0,2.02,30.9,,Wet Wt,ANP,N,,,,,,7
1804095,930,B9A0012,1804095-01,CRC20181002-MUS6,Mn,02-Oct-2018 13:25,14-Dec-2018 10:00,Tissue,EPA Method 1614,07-Jan-2019 07:15,0.809,g,0,11-Jan-2019 21:41,BDE-13,BDE-13,1,ND,pg/g,17.8,10.5,0,2.87,30.9,,Wet Wt,ANP,N,,,,,,8
1804095,930,B9A0012,1804095-01,CRC20181002-MUS6,Mn,02-Oct-2018 13:25,14-Dec-2018 10:00,Tissue,EPA Method 1614,07-Jan-2019 07:15,0.809,g,0,11-Jan-2019 21:41,BDE-15,BDE-15,1,ND,pg/g,17.8,0,33.15800095,0.605,30.9,,Wet Wt,ANP,N,,,,,,9
1804095,930,B9A0012,1804095-01,CRC20181002-MUS6,Mn,02-Oct-2018 13:25,14-Dec-2018 10:00,Tissue,EPA Method 1614,07-Jan-2019 07:15,0.809,g,0,11-Jan-2019 21:41,BDE-30,BDE-30,1,ND,pg/g,17.8,21.10000038,0,0.533,30.9,,Wet Wt,ANP,N,,,,,,10
1804095,930,B9A0012,1804095-01,CRC20181002-MUS6,Mn,02-Oct-2018 13:25,14-Dec-2018 10:00,Tissue,EPA Method 1614,07-Jan-2019 07:15,0.809,g,0,11-Jan-2019 21:41,BDE-32,BDE-32,1,ND,pg/g,17.8,15.80000019,0,0.662,30.9,,Wet Wt,ANP,N,,,,,,11
1804095,930,B9A0012,1804095-01,CRC20181002-MUS6,Mn,02-Oct-2018 13:25,14-Dec-2018 10:00,Tissue,EPA Method 1614,07-Jan-2019 07:15,0.809,g,0,11-Jan-2019 21:41,BDE-17,BDE-17,1,39.9,pg/g,17.8,0,0,0.722,30.9,,Wet Wt,ANP,N,,,,,,12
1804095,930,B9A0012,1804095-01,CRC20181002-MUS6,Mn,02-Oct-2018 13:25,14-Dec-2018 10:00,Tissue,EPA Method 1614,07-Jan-2019 07:15,0.809,g,0,11-Jan-2019 21:41,BDE-25,BDE-25,1,ND,pg/g,17.8,25.5,0,0.750,30.9,,Wet Wt,ANP,N,,,,,,13
1804095,930,B9A0012,1804095-01,CRC20181002-MUS6,Mn,02-Oct-2018 13:25,14-Dec-2018 10:00,Tissue,EPA Method 1614,07-Jan-2019 07:15,0.809,g,0,11-Jan-2019 21:41,41318-75-6,BDE-28/33,1,ND,pg/g,17.8,0,473.0289917,1.44,61.8,,Wet Wt,ANP,N,,,,,,14
1804095,930,B9A0012,1804095-01,CRC20181002-MUS6,Mn,02-Oct-2018 13:25,14-Dec-2018 10:00,Tissue,EPA Method 1614,07-Jan-2019 07:15,0.809,g,0,11-Jan-2019 21:41,BDE-35/21,BDE-35/21,1,ND,pg/g,17.8,13,0,0.932,30.9,,Wet Wt,ANP,N,,,,,,15
1804095,930,B9A0012,1804095-01,CRC20181002-MUS6,Mn,02-Oct-2018 13:25,14-Dec-2018 10:00,Tissue,EPA Method 1614,07-Jan-2019 07:15,0.809,g,0,11-Jan-2019 21:41,BDE-37,BDE-37,1,ND,pg/g,17.8,11.39999962,0,0.752,30.9,,Wet Wt,ANP,N,,,,,,16
1804095,930,B9A0012,1804095-01,CRC20181002-MUS6,Mn,02-Oct-2018 13:25,14-Dec-2018 10:00,Tissue,EPA Method 1614,07-Jan-2019 07:15,0.809,g,0,11-Jan-2019 21:41,BDE-75/51,BDE-75/51,1,108,pg/g,17.8,0,0,1.15,124,J,Wet Wt,ANP,N,,,,,,17
1804095,930,B9A0012,1804095-01,CRC20181002-MUS6,Mn,02-Oct-2018 13:25,14-Dec-2018 10:00,Tissue,EPA Method 1614,07-Jan-2019 07:15,0.809,g,0,11-Jan-2019 21:41,BDE-49,BDE-49,1,436,pg/g,17.8,0,0,1.00,61.8,,Wet Wt,ANP,N,,,,,,18
